text,source,label,severity
Anyone in 2026😂,youtube,,
2026 la yaarulam paakuringa...✋️,youtube,,
Yaru laa 2025 paakkueiya 😁,youtube,,
2024  Yaarellam paakkuringa.....?,youtube,,
Gopi bro ku crct ah deepa get up match aaguthu 😂like if u agree ,youtube,,
2021 la யார் எல்லாம் பாக்கிறீங்க,youtube,,
Sudhakar Oda expression tha vera level 🤣🤣🤣,youtube,,
3:11 Vera level 😂😂🔥🔥,youtube,,
Sudhagar the best teacher expression 😄😄😄,youtube,,
Sudhakar as school teacher 👍👏👏super!!,youtube,,
2 varusam kalichi pathalum semmaya irukke pa,youtube,,
"6:40   thambi ayyavum inimel atathula iruken...😂😂😂😂😂
sudhakar reaction.....🔥🔥",youtube,,
2020 la parkurangalam like podunga..✌️,youtube,,
"யப்பா சாமி டேய்.... முடியல... சிரிச்சு சிரிச்சு வயிறு வலிக்குது.. 😂😂😂 பிரமாதம்.
எனக்கு ரொம்ப பிடிச்சது ""எவென் என்னைய அடிச்சானோ..."" ",youtube,,
My only stress buster is gopi sudhaakar ' shows...,youtube,,
3:37 +2mark instead -2mark true fact bro,youtube,,
4:55 valikithu da 😂,youtube,,
1:56 sugama iruka.. sugama irukaa,youtube,,
9:39 ella eruma madum varisila va🤣🤣,youtube,,
6:10  kuyil maari...yaa..😂🤣🤣🔥,youtube,,
Meee😅,youtube,,
Me July 2025,youtube,,
2026,youtube,,
Me,youtube,,
Me 😂😂😂,youtube,,
Me 😂😂,youtube,,
Nov 2025,youtube,,
Na 2026 ya,youtube,,
I am😂,youtube,,
Na paakkuraa,youtube,,
31st may 2024,youtube,,
Me from Malaysia,youtube,,
நானும் இப்ப தான் பார்த்தேன்,youtube,,
iam,youtube,,
Anytime u watch 100% laughter guarantee,youtube,,
🙋‍♂️,youtube,,
Yes,youtube,,
List eduthu enna omba pooriyaa😂,youtube,,
Watching 2025 😂,youtube,,
2025😅😂,youtube,,
Naan,youtube,,
Me😅,youtube,,
Me also 😂😂,youtube,,
Yes iam,youtube,,
ஆமாஆமா,youtube,,
தீபா நடிப்பு சூப்பர்,youtube,,
Justin Ronaldo correctly said,youtube,,
Yes bro after a long time indha videos pakkuran but bore akkala semma acting both of them 🔥😎😍,youtube,,
Justin Ronaldo yo andha aalukku enna getup pottalum semmaya irukku ya,youtube,,
" @isthisnvn  aama bro 
Correct",youtube,,
Who is deepa,youtube,,
Yes bro crct thaan.,youtube,,
Sudhakar yaru role ?,youtube,,
"Tamilisai, hraha, nithi,deepa எல்லா கெட்டப்பும் செட் ஆவுதே எப்படிப்பா...",youtube,,
Nanum,youtube,,
 @kalaivanik3466  ohh😇,youtube,,
 @kalaivanik3466  today watching bro,youtube,,
Me 🙏👸,youtube,,
 @ammaponnu390  today watching,youtube,,
Today bro,youtube,,
Yenda ella vedio la yum ipidi  oruthan irukeenga,youtube,,
 @b.meeradevi7426  Ha ha ha,youtube,,
Hmm ok friends,youtube,,
Na bro,youtube,,
💔,youtube,,
Vera level bro,youtube,,
Nanum bro,youtube,,
I am bro,youtube,,
 @nandhas8375  ok,youtube,,
2021,youtube,,
I am always watching 👀,youtube,,
Today,youtube,,
Today watching bro,youtube,,
Today watching,youtube,,
2022 now watching,youtube,,
2021 la yaarlam piranthinga,youtube,,
2022 la,youtube,,
Bro 2023 😂,youtube,,
 @murugavela6080  io,youtube,,
 @murugavela6080  ook,youtube,,
Now watching😁,youtube,,
🙋,youtube,,
In,youtube,,
𝒎𝒆𝒆,youtube,,
Seri ippo enna panna solra,youtube,,
3 time watching,youtube,,
 @karmukillan.d9963  ok friends,youtube,,
Now watching,youtube,,
Today's shows this YouTube recommended,youtube,,
 @Rajrohith2005  you playing freefire,youtube,,
Me😂,youtube,,
Naanu,youtube,,
haha me to,youtube,,
Naanum broooo🔥🎉,youtube,,
Stress buster for me!!,youtube,,
Na,youtube,,
I watched in 2017,youtube,,
I AM,youtube,,
Le me,youtube,,
Meee,youtube,,
Me to,youtube,,
Now I am watching this video,youtube,,
😂... Bro 2021tha videove upload pannirukkaanga 😂,youtube,,
 @MassCreations-dd3zf no.bro intha video 2017 la upload pannaanga,youtube,,
Boomer uncle,youtube,,
NAA PAAKKREN,youtube,,
2022,youtube,,
 @soultube7199  hi bro nanum ipa than pathen,youtube,,
Athu eppadi 11 months ku munnadiye potrukingaa???,youtube,,
I'm,youtube,,
Naa 2022 la pakuren,youtube,,
06.01.2022,youtube,,
"I am watching in 2022,as well.",youtube,,
2022 bro😂,youtube,,
2022 ya.. 😂,youtube,,
