text,text_clean,language,source,label,severity
2021 la யார் எல்லாம் பாக்கிறீங்க,2021 la யார் எல்லாம் பாக்கிறீங்க,Tamil,youtube,,
Sudhakar Oda expression tha vera level 🤣🤣🤣,sudhakar oda expression tha vera level,Tanglish,youtube,,
3:11 Vera level 😂😂🔥🔥,11 vera level,Tanglish,youtube,,
Sudhagar the best teacher expression 😄😄😄,sudhagar best teacher expression,English,youtube,,
Sudhakar as school teacher 👍👏👏super!!,sudhakar school teacher super,English,youtube,,
"யப்பா சாமி டேய்.... முடியல... சிரிச்சு சிரிச்சு வயிறு வலிக்குது.. 😂😂😂 பிரமாதம். எனக்கு ரொம்ப பிடிச்சது ""எவென் என்னைய அடிச்சானோ...""","யப்பா சாமி டேய்.... முடியல... சிரிச்சு சிரிச்சு வயிறு வலிக்குது.. பிரமாதம். எனக்கு ரொம்ப பிடிச்சது ""எவென் என்னைய அடிச்சானோ...""",Tamil,youtube,,
My only stress buster is gopi sudhaakar ' shows...,stress buster gopi sudhaakar shows,English,youtube,,
3:37 +2mark instead -2mark true fact bro,37 2mark instead 2mark true fact bro,English,youtube,,
Me July 2025,july 2025,English,youtube,,
Me from Malaysia,malaysia,English,youtube,,
நானும் இப்ப தான் பார்த்தேன்,நானும் இப்ப தான் பார்த்தேன்,Tamil,youtube,,
Anytime u watch 100% laughter guarantee,anytime watch 100 laughter guarantee,English,youtube,,
Watching 2025 😂,watching 2025,English,youtube,,
Me also 😂😂,also,English,youtube,,
ஆமாஆமா,ஆமாஆமா,Tamil,youtube,,
தீபா நடிப்பு சூப்பர்,தீபா நடிப்பு சூப்பர்,Tamil,youtube,,
Justin Ronaldo correctly said,justin ronaldo correctly said,English,youtube,,
Yes bro after a long time indha videos pakkuran but bore akkala semma acting both of them 🔥😎😍,yes bro long time indha videos pakkuran bore akkala semma acting,English,youtube,,
Justin Ronaldo yo andha aalukku enna getup pottalum semmaya irukku ya,justin ronaldo yo andha aalukku enna getup pottalum semmaya irukku ya,Tanglish,youtube,,
@isthisnvn aama bro Correct,isthisnvn aama correct,Tanglish,youtube,,
Yes bro crct thaan.,yes bro crct thaan,English,youtube,,
"Tamilisai, hraha, nithi,deepa எல்லா கெட்டப்பும் செட் ஆவுதே எப்படிப்பா...","Tamilisai, hraha, nithi,deepa எல்லா கெட்டப்பும் செட் ஆவுதே எப்படிப்பா...",Tamil,youtube,,
@ammaponnu390 today watching,ammaponnu390 today watching,English,youtube,,
Vera level bro,vera level,Tanglish,youtube,,
I am always watching 👀,always watching,English,youtube,,
Today watching bro,today watching bro,English,youtube,,
Today watching,today watching,English,youtube,,
2022 now watching,2022 watching,English,youtube,,
Seri ippo enna panna solra,ippo enna panna solra,Tanglish,youtube,,
3 time watching,time watching,English,youtube,,
Today's shows this YouTube recommended,today shows youtube recommended,English,youtube,,
@Rajrohith2005 you playing freefire,rajrohith2005 playing freefire,English,youtube,,
I watched in 2017,watched 2017,English,youtube,,
Now I am watching this video,watching video,English,youtube,,
Boomer uncle,boomer uncle,English,youtube,,
@soultube7199 hi bro nanum ipa than pathen,soultube7199 hi bro nanum ipa pathen,English,youtube,,
"I am watching in 2022,as well.",watching 2022 well,English,youtube,,
Yaar patha onnaku enna,patha onnaku enna,Tanglish,youtube,,
It's 2022,2022,English,youtube,,
Watching in 2023,watching 2023,English,youtube,,
Watching in 2022,watching 2022,English,youtube,,
Bro this is 2022,bro 2022,English,youtube,,
I am in 2022,2022,English,youtube,,
I am 2022. Se.. watching...,2022 se watching,English,youtube,,
Today i watching,today watching,English,youtube,,
@mickeldinesh2894 ok friends,mickeldinesh2894 ok friends,English,youtube,,
Illa bro na 2022 la tha paatha,illa 2022 tha paatha,Tanglish,youtube,,
Now 2022. 5 time I'm seeing this,2022 time seeing,English,youtube,,
Today watching bro.. 2022 😅,today watching bro 2022,English,youtube,,
Bro iam today watching👀,bro iam today watching,English,youtube,,
@_attitude_only_ 🤣🤣,attitude,English,youtube,,
Bro na 2022 la pakkuren bro,2022 pakkuren,Tanglish,youtube,,
Naan 2022-ல இருந்து வரன் comment பண்ணுன இந்த 2021 நாய் செத்துப்போயிருச்சு 🥳😂,Naan 2022-ல இருந்து வரன் comment பண்ணுன இந்த 2021 நாய் செத்துப்போயிருச்சு,Tamil,youtube,,
Watching in22,watching in22,English,youtube,,
2023 who?,2023,English,youtube,,
2021 illa anna 2023 la pakkura,2021 illa 2023 pakkura,Tanglish,youtube,,
Watching from 2060 bro 🥸🔥🤣🤣🤣🤣😂,watching 2060 bro,English,youtube,,
யாரெல்லாம் 2023 பார்க்கிறோம்,யாரெல்லாம் 2023 பார்க்கிறோம்,Tamil,youtube,,
