text,source,label,severity,language,text_clean
2021 la யார் எல்லாம் பாக்கிறீங்க,youtube,,,Tamil,2021 la யார் எல்லாம் பாக்கிறீங்க
Sudhakar Oda expression tha vera level 🤣🤣🤣,youtube,,,Tanglish,sudhakar oda expression tha vera level
3:11 Vera level 😂😂🔥🔥,youtube,,,Tanglish,11 vera level
Sudhagar the best teacher expression 😄😄😄,youtube,,,English,sudhagar best teacher expression
Sudhakar as school teacher 👍👏👏super!!,youtube,,,English,sudhakar school teacher super
"யப்பா சாமி டேய்.... முடியல... சிரிச்சு சிரிச்சு வயிறு வலிக்குது.. 😂😂😂 பிரமாதம். எனக்கு ரொம்ப பிடிச்சது ""எவென் என்னைய அடிச்சானோ...""",youtube,,,Tamil,"யப்பா சாமி டேய்.... முடியல... சிரிச்சு சிரிச்சு வயிறு வலிக்குது.. பிரமாதம். எனக்கு ரொம்ப பிடிச்சது ""எவென் என்னைய அடிச்சானோ..."""
My only stress buster is gopi sudhaakar ' shows...,youtube,,,English,stress buster gopi sudhaakar shows
3:37 +2mark instead -2mark true fact bro,youtube,,,English,37 2mark instead 2mark true fact bro
Me July 2025,youtube,,,English,july 2025
Me from Malaysia,youtube,,,English,malaysia
நானும் இப்ப தான் பார்த்தேன்,youtube,,,Tamil,நானும் இப்ப தான் பார்த்தேன்
Anytime u watch 100% laughter guarantee,youtube,,,English,anytime watch 100 laughter guarantee
Watching 2025 😂,youtube,,,English,watching 2025
Me also 😂😂,youtube,,,English,also
ஆமாஆமா,youtube,,,Tamil,ஆமாஆமா
தீபா நடிப்பு சூப்பர்,youtube,,,Tamil,தீபா நடிப்பு சூப்பர்
Justin Ronaldo correctly said,youtube,,,English,justin ronaldo correctly said
Yes bro after a long time indha videos pakkuran but bore akkala semma acting both of them 🔥😎😍,youtube,,,English,yes bro long time indha videos pakkuran bore akkala semma acting
Justin Ronaldo yo andha aalukku enna getup pottalum semmaya irukku ya,youtube,,,Tanglish,justin ronaldo yo andha aalukku enna getup pottalum semmaya irukku ya
@isthisnvn aama bro Correct,youtube,,,Tanglish,isthisnvn aama correct
Yes bro crct thaan.,youtube,,,English,yes bro crct thaan
"Tamilisai, hraha, nithi,deepa எல்லா கெட்டப்பும் செட் ஆவுதே எப்படிப்பா...",youtube,,,Tamil,"Tamilisai, hraha, nithi,deepa எல்லா கெட்டப்பும் செட் ஆவுதே எப்படிப்பா..."
@ammaponnu390 today watching,youtube,,,English,ammaponnu390 today watching
Vera level bro,youtube,,,Tanglish,vera level
I am always watching 👀,youtube,,,English,always watching
Today watching bro,youtube,,,English,today watching bro
Today watching,youtube,,,English,today watching
2022 now watching,youtube,,,English,2022 watching
Seri ippo enna panna solra,youtube,,,Tanglish,ippo enna panna solra
3 time watching,youtube,,,English,time watching
Today's shows this YouTube recommended,youtube,,,English,today shows youtube recommended
@Rajrohith2005 you playing freefire,youtube,,,English,rajrohith2005 playing freefire
I watched in 2017,youtube,,,English,watched 2017
Now I am watching this video,youtube,,,English,watching video
Boomer uncle,youtube,,,English,boomer uncle
@soultube7199 hi bro nanum ipa than pathen,youtube,,,English,soultube7199 hi bro nanum ipa pathen
"I am watching in 2022,as well.",youtube,,,English,watching 2022 well
Yaar patha onnaku enna,youtube,,,Tanglish,patha onnaku enna
It's 2022,youtube,,,English,2022
Watching in 2023,youtube,,,English,watching 2023
Watching in 2022,youtube,,,English,watching 2022
Bro this is 2022,youtube,,,English,bro 2022
I am in 2022,youtube,,,English,2022
I am 2022. Se.. watching...,youtube,,,English,2022 se watching
Today i watching,youtube,,,English,today watching
@mickeldinesh2894 ok friends,youtube,,,English,mickeldinesh2894 ok friends
Illa bro na 2022 la tha paatha,youtube,,,Tanglish,illa 2022 tha paatha
Now 2022. 5 time I'm seeing this,youtube,,,English,2022 time seeing
Today watching bro.. 2022 😅,youtube,,,English,today watching bro 2022
Bro iam today watching👀,youtube,,,English,bro iam today watching
@_attitude_only_ 🤣🤣,youtube,,,English,attitude
Bro na 2022 la pakkuren bro,youtube,,,Tanglish,2022 pakkuren
Naan 2022-ல இருந்து வரன் comment பண்ணுன இந்த 2021 நாய் செத்துப்போயிருச்சு 🥳😂,youtube,,,Tamil,Naan 2022-ல இருந்து வரன் comment பண்ணுன இந்த 2021 நாய் செத்துப்போயிருச்சு
Watching in22,youtube,,,English,watching in22
2023 who?,youtube,,,English,2023
2021 illa anna 2023 la pakkura,youtube,,,Tanglish,2021 illa 2023 pakkura
Watching from 2060 bro 🥸🔥🤣🤣🤣🤣😂,youtube,,,English,watching 2060 bro
யாரெல்லாம் 2023 பார்க்கிறோம்,youtube,,,Tamil,யாரெல்லாம் 2023 பார்க்கிறோம்
திராவிட தேசத்தின் முக்ய மந்த்ரி இஸ்டாலின் சின்னமேளமு காரூ ஜிண்டாபாட் ஜிண்டாபாட்,youtube,,,Tamil,திராவிட தேசத்தின் முக்ய மந்த்ரி இஸ்டாலின் சின்னமேளமு காரூ ஜிண்டாபாட் ஜிண்டாபாட்
"டாஸ்மாக் கரன்ட் கட் காரன் கம்பி எண்ணுவது தான் கட்சிகளுக்கும், கூட்டணிகளுக்கும், நாட்டு மக்களுக்கும் நல்லது...",youtube,,,Tamil,"டாஸ்மாக் கரன்ட் கட் காரன் கம்பி எண்ணுவது தான் கட்சிகளுக்கும், கூட்டணிகளுக்கும், நாட்டு மக்களுக்கும் நல்லது..."
2023/10th month,youtube,,,English,2023 10th month
2023 leyum watching than bro!!,youtube,,,English,2023 leyum watching bro
Just 3 years later,youtube,,,English,years later
Bro this is 2024 time is going faster😢😢😢,youtube,,,English,bro 2024 time going faster
Oh shit I am watching on Dec 2024,youtube,,,English,oh shit watching dec 2024
Not only teacher every character,youtube,,,English,teacher every character
I'm watching in 2021 Feb 1,youtube,,,English,watching 2021 feb
Is true bro nice my favourite shows,youtube,,,English,true bro nice favourite shows
Only strasssa,youtube,,,English,strasssa
அம்மா அப்பா அண்ணன் கொழுந்தியா பேரவை 😂 😂 அடேய்ய் 😂,youtube,,,Tamil,அம்மா அப்பா அண்ணன் கொழுந்தியா பேரவை அடேய்ய்
என்னா எதுக்கு அடிச்சிங்க.இருடி எங்க அப்பாவ கூட்டிட்டு வரன்.😃😃😄😄😆😆😅😅😃😃,youtube,,,Tamil,என்னா எதுக்கு அடிச்சிங்க.இருடி எங்க அப்பாவ கூட்டிட்டு வரன்.
5:41...enna 7 uyir 7 mayir uh😂😂😂🤣🤣🤣vera level comedy.... ultimate,youtube,,,Tanglish,41 enna uyir mayir uh vera level comedy ultimate
3:30 exactly my school teachere are same like him,youtube,,,English,30 exactly school teachere like
#tnx 4 my childhood memories # nikkal kunthal # undertaker 7 uyir # hand cricket # Evan yennaya aduchano😘😘😘😘😉,youtube,,,English,tnx childhood memories nikkal kunthal undertaker uyir hand cricket evan yennaya aduchano
என் வாழ்க்கையில் நடந்தது போலவே இருக்கு 😂😁😁😂😂,youtube,,,Tamil,என் வாழ்க்கையில் நடந்தது போலவே இருக்கு
Means what,youtube,,,English,means
நானும் த ப்ரோ🤣🤣🤣 triple h Undertaker m anna thambi 🤣🤣🤣🤣,youtube,,,English,triple undertaker anna thambi
Me also bro,youtube,,,English,also bro
2:08 classic👌..class ku oruthan epadi kandipa erupaan 😂😂..over reaction kuduthu escape aagirvaan 😂,youtube,,,Tanglish,08 classic class ku oruthan epadi kandipa erupaan reaction kuduthu escape aagirvaan
dei echakala ... 😂andha Amma sonnatha Vida ...ninga sollumbothu... ultimate bro 😂😂😂😂,youtube,,,Tanglish,echakala andha sonnatha vida ninga sollumbothu ultimate
அம்மா அப்பா அண்ணன் கொளுந்தியா பேரவை! 😂,youtube,,,Tamil,அம்மா அப்பா அண்ணன் கொளுந்தியா பேரவை!
"வீடியோ முடிஞ்சதும், Bloopers ம் கடைசில போடுங்க நண்பா... அதான் Full enjoyment👌",youtube,,,Tamil,"வீடியோ முடிஞ்சதும், Bloopers ம் கடைசில போடுங்க நண்பா... அதான் Full enjoyment"
2:39 Inniku ongaluku onnu tharaporen! Athu enna?.... ( WoW Semma performance ) :),youtube,,,English,39 inniku ongaluku onnu tharaporen athu enna wow semma performance
2024 la யாரெல்லாம் பாக்குறீங்க,youtube,,,Tamil,2024 la யாரெல்லாம் பாக்குறீங்க
The best part is from 0:00 to 11:19..Hit like if you agree..,youtube,,,English,best part 00 11 19 hit like agree
"You Tube Channel Super Star Gopi Sudhakar ஞாபகம் வருதே nikkal Kundhal, Prayer மயக்கம், எவன் என்ன அடிச்சானோ, sir பேனா வாங்கறது, 8 th period PT, பேசினால் பெயர் எழுதுவது test paper, correction, அடி வாங்குவது 👏👌😢💓💟🏫📚📝",youtube,,,Tamil,"You Tube Channel Super Star Gopi Sudhakar ஞாபகம் வருதே nikkal Kundhal, Prayer மயக்கம், எவன் என்ன அடிச்சானோ, sir பேனா வாங்கறது, 8 th period PT, பேசினால் பெயர் எழுதுவது test paper, correction, அடி வாங்குவது"
