text,platform,video_id,likes,timestamp,is_reply,label,severity
"Bro thanks for this cousre bro , i am studying 11 th std computer maths , i  learned my things related to AI and ML , i thank you for putting your effort on youtube though your views are less. I AM VERY GLAD . Thank u soo much brother",youtube,7aKbdpkMVnU,5,4 months ago,False,,
"bro chinna suggestionn ,video la copy paste panni explain pannalama, code panni  athula different differten ah nalla solli kudutha nalla irukum 
.Aprm previous video laam refer panni paaka solluringa .example ku sonna: UV instalation laam summa chinna topic athukulaam previous video refer panna sonna kastam bro.Max to max ellam ore video la vara maari sollunga",youtube,7aKbdpkMVnU,2,4 days ago,False,,
Really very useful thanks for the video,youtube,7aKbdpkMVnU,4,4 months ago,False,,
Gpt oss model explained panne video poduu broo apram vibe coding  complete website or app creation video podunagaa bro please kind request,youtube,7aKbdpkMVnU,1,4 months ago (edited),False,,
Bro we need flask course please 🙏🏻🙏🏻,youtube,7aKbdpkMVnU,3,4 months ago,False,,
Bro python django la websocket use pandra concept podunga bro tamil la videos ila,youtube,7aKbdpkMVnU,2,4 months ago,False,,
And framework vs lib diff um solunga broo😢😢 pls plss,youtube,7aKbdpkMVnU,1,2 months ago,False,,
thanks bruhhh,youtube,7aKbdpkMVnU,1,4 months ago,False,,
we need flask crash course,youtube,7aKbdpkMVnU,1,4 months ago,False,,
Bro Curl command epd edukringa ?,youtube,7aKbdpkMVnU,1,1 month ago,False,,
Bro data science la  fastapi yepdi use pannuvanga,youtube,7aKbdpkMVnU,1,2 months ago,False,,
❤,youtube,7aKbdpkMVnU,2,4 months ago,False,,
❤🙌🙌,youtube,7aKbdpkMVnU,2,4 months ago,True,,
❤🎉,youtube,7aKbdpkMVnU,0,4 months ago,True,,
Yes bro will post,youtube,7aKbdpkMVnU,1,4 months ago,True,,
Sure bro❤,youtube,7aKbdpkMVnU,0,4 months ago,True,,
Will post,youtube,7aKbdpkMVnU,0,2 months ago,True,,
"the key difference lies in control: a framework dictates the structure and flow of the application, while a library provides tools that the developer can use as needed.",youtube,7aKbdpkMVnU,0,1 month ago,True,,
Will post bro,youtube,7aKbdpkMVnU,0,4 months ago,True,,
From chatgpt,youtube,7aKbdpkMVnU,0,1 month ago,True,,
"​ @AI_with_Thiru Puriyala bro, application build Inga aguthu ..athuku ChatGPT copy panringa?",youtube,7aKbdpkMVnU,0,1 month ago,True,,
"Will be used for converting model in to api, wrote custom api for ETL, load data from various source etc.. API is more important one",youtube,7aKbdpkMVnU,0,2 months ago,True,,
